Timestamp,Country of Residence,Please indicate where you work,How long have you worked at your current employer,Monetary policy can remain in central banks in case cash is no longer used,Modern and innovative solution to store value that is user friendly for the digital world,Shows adaptability of the central bank as a monetary anchor and therefore increases trust in the local currency,"Privacy would be ensured, since the central bank is not incentivized to monetize users data",Reduces friction adn expensive fee structures currently seen in the market,Eases money transformation by tracking technology which allows legal cases to be solved more accurately,Lessen the risk of money laundering,traditional banks are worried that they will be cut off from the intermediation process,Cutting off traditional banks from the supply of digital currency means that there is no multiplier effect in the economy,"Difficult to design properly so as to make it good enough to be used as a means of payment, but not so good in order to make it attractive as a store of value, which could cause bank runs","Banks will want to monetize the data generated with CBDC, potentially jeopardizing data privacy",CBDCs require direct integration with users and therefore means that is directly competing against other digital currencies,"CBDCs could be vulnerable to cyberattacks, meaning people would trust the CBDC les",CBDCs could be used as a surveillance method by rogue governments,"Credit card companies like visa, mastercard will lose up to 40% of customer transaction information if CBDC replaces credit card",It will require strict auditing and protection system as the system relies on people for technical capabilities where an employee can easily transfer money to their own account
2/19/2022 8:18:20,Spain,Other,1,6,3,6,16,4,4,3,8,9,8,15,13,13,12,7,13
2/19/2022 8:27:24,Spain ,Other,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,1
2/19/2022 8:30:48,Spain,Other,2,1,1,1,1,16,1,1,16,16,16,16,16,16,16,1,1
2/19/2022 9:31:13,United Arab Emirates,Other,1,8,1,1,1,2,3,2,1,3,2,1,3,2,2,2,2
2/19/2022 10:15:32,Spain,Other,0,7,5,13,11,11,13,12,4,6,3,2,10,11,8,10,7
2/19/2022 10:32:38,Spain,Other,17,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2
2/19/2022 10:56:04,United Arab Emirates,Other,7,4,1,1,1,3,2,6,4,4,4,3,3,5,5,2,4
2/19/2022 11:26:56,Spain,Other,7,7,3,9,1,8,7,7,2,8,3,9,14,4,9,9,1
2/19/2022 11:32:56,Spain,Other,3,5,3,1,6,2,3,4,10,14,13,10,15,16,8,15,13
2/19/2022 12:03:21,Saudi Arabia,Other,15,3,2,3,7,2,2,1,4,5,4,3,4,8,9,3,5
2/19/2022 12:14:09,Spain,Other,2,9,9,9,7,9,7,7,9,9,6,5,9,7,9,9,7
2/19/2022 12:31:54,Dominican Republic,Other,2,1,1,9,3,1,1,1,1,1,6,8,8,8,8,2,3
2/19/2022 12:32:11,France,Other,1,11,2,3,4,3,5,4,13,14,8,16,11,15,16,13,9
2/19/2022 12:51:09,Spain,Other,13,1,3,1,1,3,1,1,1,9,3,1,1,4,7,4,1
2/19/2022 14:30:16,Saudi Arabia,Other,15,3,7,4,11,8,4,5,2,9,4,3,1,11,1,4,1
2/19/2022 14:55:29,Switzerland,Other,1,14,4,5,7,7,3,7,3,4,8,8,4,7,11,12,8
2/19/2022 15:25:06,Spain,Other,2,5,4,3,2,6,7,8,9,10,8,3,5,2,3,9,1
2/19/2022 16:12:13,Spain,Other,0,16,1,9,11,2,1,1,1,14,15,3,2,15,3,2,4
2/19/2022 16:25:29,Spain,Other,1,10,6,5,3,7,5,3,3,3,5,3,10,6,8,5,1
2/19/2022 16:56:49,Canada,Other,2,6,3,2,1,4,8,7,9,10,15,16,12,13,14,11,10
2/19/2022 18:35:23,Brasil,Bank,25,1,3,3,5,5,9,12,11,11,11,7,7,10,10,12,1
2/19/2022 18:44:18,Canada,Bank,0,4,3,5,1,8,10,9,9,9,7,3,2,9,8,3,4
2/19/2022 19:26:10,Switzerland ,Other,1,2,3,2,5,5,6,7,3,4,8,8,8,7,7,6,7
2/20/2022 2:01:45,Spain,Other,3,6,8,8,7,9,11,10,8,13,11,8,7,6,4,6,3
2/20/2022 3:08:42,Ecuador,Other,1,7,9,8,9,9,9,9,9,6,8,9,8,8,6,7,7
2/20/2022 10:48:16,spain,Fintech/Digital Bank,3,1,1,3,3,1,1,1,16,13,5,12,2,4,16,1,4
2/20/2022 11:50:24,Spain,Other,2,13,8,4,15,6,4,13,4,6,11,4,6,3,6,4,5
2/20/2022 11:51:41,USA,Other,2,16,7,7,16,3,3,1,1,1,8,16,5,16,16,6,16
2/20/2022 12:09:40,Spain,Other,5,1,3,3,7,7,3,3,7,7,5,4,3,8,9,2,7
2/20/2022 13:44:19,Spain,Other,1,16,10,11,6,6,7,16,15,16,10,13,13,11,16,12,12
2/20/2022 13:45:05,Spain,Other,4,16,15,13,15,14,16,15,14,15,15,16,12,10,14,14,15
2/20/2022 17:29:44,Spain,Other,0,1,2,3,4,9,7,15,8,9,10,12,13,8,11,16,4
